Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
435,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
436,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,20,2002,1.5,4,1,3,1,0,2,3,66.7,1,2,0,2,3,7,1,0
437,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
438,Aaron Ramsey,eng ENG,"MF,FW",Burnley,20,2003,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0
439,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0
440,Marcus Rashford,eng ENG,FW,Manchester Utd,25,1997,25.2,19,12,9,4,6,9,26,34.6,17,15,1,14,4,23,21,0
441,David Raya,es ESP,GK,Arsenal,27,1995,32.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,5
442,Tim Ream,us USA,DF,Fulham,35,1987,16.7,20,9,13,5,2,9,18,50.0,9,23,15,8,25,45,61,2
443,Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0
444,Harrison Reed,eng ENG,MF,Fulham,28,1995,14.7,29,18,9,17,3,13,31,41.9,18,19,9,10,11,40,24,0
445,Sergio Reguilón,es ESP,DF,Manchester Utd,26,1996,4.6,13,8,6,2,5,8,17,47.1,9,10,0,10,5,18,7,0
446,Sergio Reguilón,es ESP,DF,Brentford,26,1996,12.4,45,20,26,18,1,24,40,60.0,16,23,6,17,16,61,41,1
447,Bobby Reid,jm JAM,FW,Fulham,30,1993,15.8,22,14,5,15,2,4,16,25.0,12,24,2,22,5,27,14,0
448,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,20,2002,2.6,7,3,4,0,3,3,6,50.0,3,3,0,3,2,9,0,0
449,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
450,Declan Rice,eng ENG,MF,Arsenal,24,1999,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0
451,Chris Richards,us USA,"DF,MF",Crystal Palace,23,2000,23.3,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0
452,Richarlison,br BRA,FW,Tottenham,26,1997,16.6,16,11,4,8,4,2,10,20.0,8,32,6,26,8,24,23,0
453,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,26,1996,2.6,9,3,2,4,3,3,6,50.0,3,0,0,0,2,11,2,0
454,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,33,1989,1.4,5,3,2,2,1,2,4,50.0,2,3,2,1,1,6,5,0
455,Connor Roberts,wls WAL,DF,Burnley,27,1995,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2
456,Andrew Robertson,sct SCO,DF,Liverpool,29,1994,18.8,35,24,21,11,3,26,43,60.5,17,20,6,14,13,48,40,0
457,Antonee Robinson,us USA,DF,Fulham,25,1997,36.3,93,58,60,26,7,52,110,47.3,58,56,8,48,80,173,117,3
458,Jack Robinson,eng ENG,DF,Sheffield Utd,29,1993,32.1,43,28,29,14,0,25,39,64.1,14,49,33,16,33,76,132,2
459,Rodri,es ESP,MF,Manchester City,27,1996,32.6,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4
460,Jay Rodriguez,eng ENG,FW,Burnley,34,1989,9.1,14,9,7,4,3,7,13,53.8,6,11,1,10,1,15,8,0
461,Mads Roerslev,dk DEN,DF,Brentford,24,1999,22.1,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0
462,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,21,2002,7.1,8,1,3,2,3,2,11,18.2,9,11,0,11,3,11,11,0
463,Cristian Romero,ar ARG,DF,Tottenham,25,1998,31.0,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1
464,Joe Rothwell,eng ENG,MF,Bournemouth,28,1995,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0
465,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30,1993,12.2,13,5,6,6,1,5,9,55.6,4,15,7,8,9,22,16,3
466,José Sá,pt POR,GK,Wolves,30,1993,33.7,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,21,5
467,Dominic Sadi,eng ENG,FW,Bournemouth,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
468,Bukayo Saka,eng ENG,FW,Arsenal,21,2001,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1
469,Mohamed Salah,eg EGY,FW,Liverpool,31,1992,28.2,17,11,1,8,8,6,21,28.6,15,19,1,18,2,19,1,0
470,William Saliba,fr FRA,DF,Arsenal,22,2001,38.0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3
471,Albert Sambi Lokonga,be BEL,MF,Luton Town,23,1999,14.5,29,18,14,12,3,17,24,70.8,7,23,13,10,11,40,14,0
472,Davinson Sánchez,co COL,DF,Tottenham,27,1996,0.9,0,0,0,0,0,0,0,,0,3,2,1,1,1,2,0
473,Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3
474,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,2000,0.9,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0
475,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,25,1997,11.5,42,23,25,13,4,12,29,41.4,17,24,7,17,16,58,21,0
476,Andrey Santos,br BRA,MF,Nott'ham Forest,19,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
477,Pablo Sarabia,es ESP,"MF,FW",Wolves,31,1992,19.4,20,13,8,8,4,12,36,33.3,24,17,1,16,10,30,9,0
478,Dane Scarlett,eng ENG,FW,Tottenham,19,2004,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
479,Kevin Schade,de GER,"FW,MF",Brentford,21,2001,3.7,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0
480,Fabian Schär,ch SUI,DF,Newcastle Utd,31,1991,33.9,42,24,27,13,2,18,40,45.0,22,50,38,12,36,78,133,1
481,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30,1992,15.0,38,24,14,16,8,9,18,50.0,9,13,2,11,8,46,24,0
482,Alex Scott,eng ENG,MF,Bournemouth,19,2003,11.3,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2
483,Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1
484,Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1
485,Antoine Semenyo,gh GHA,FW,Bournemouth,23,2000,23.4,24,17,7,9,8,9,27,33.3,18,39,2,37,6,30,21,0
486,Marcos Senesi,ar ARG,DF,Bournemouth,26,1997,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1
487,Luke Shaw,eng ENG,DF,Manchester Utd,28,1995,10.7,11,8,7,3,1,9,15,60.0,6,18,11,7,6,17,39,0
488,James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
489,Bernardo Silva,pt POR,"MF,FW",Manchester City,28,1994,28.6,51,23,13,25,13,25,57,43.9,32,32,4,28,17,68,15,1
490,Fábio Silva,pt POR,FW,Wolves,21,2002,2.9,7,4,3,4,0,2,3,66.7,1,1,0,1,2,9,0,0
491,Thiago Silva,br BRA,DF,Chelsea,38,1984,28.1,29,15,22,6,1,20,34,58.8,14,33,24,9,26,55,153,4
492,Luis Sinisterra,co COL,"FW,MF",Bournemouth,24,1999,7.8,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0
493,Oliver Skipp,eng ENG,"MF,DF",Tottenham,22,2000,7.9,18,12,9,6,3,11,18,61.1,7,12,1,11,3,21,9,0
494,Adam Smith,eng ENG,DF,Bournemouth,32,1991,23.9,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0
495,Emile Smith Rowe,eng ENG,MF,Arsenal,23,2000,3.9,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0
496,Cédric Soares,pt POR,DF,Arsenal,31,1991,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
497,Dominic Solanke,eng ENG,FW,Bournemouth,25,1997,36.9,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0
498,Manor Solomon,il ISR,FW,Tottenham,24,1999,2.2,3,3,1,1,1,1,2,50.0,1,4,0,4,3,6,2,0
499,Tomáš Souček,cz CZE,MF,West Ham,28,1995,31.9,53,35,24,26,3,21,47,44.7,26,55,28,27,37,90,109,0
500,Vinicius Souza,br BRA,MF,Sheffield Utd,24,1999,29.6,125,76,59,51,15,41,74,55.4,33,57,17,40,32,157,75,1
501,Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,8,1
502,Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,1994,22.0,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1
503,John Stones,eng ENG,"DF,MF",Manchester City,29,1994,11.8,2,1,1,0,1,0,3,0.0,3,11,7,4,10,12,21,0
504,Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
505,Dominik Szoboszlai,hu HUN,MF,Liverpool,22,2000,23.4,32,19,12,12,8,16,50,32.0,34,37,2,35,15,47,16,1
506,Matt Targett,eng ENG,DF,Newcastle Utd,27,1995,0.9,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,2,0
507,James Tarkowski,eng ENG,DF,Everton,30,1992,38.0,61,42,46,14,1,27,48,56.3,21,82,56,26,56,117,191,2
508,Jimi Tauriainen,eng ENG,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
509,Nuno Tavares,pt POR,DF,Nott'ham Forest,23,2000,5.1,11,7,9,1,1,8,9,88.9,1,6,0,6,1,12,21,0
510,Marcus Tavernier,eng ENG,FW,Bournemouth,24,1999,23.5,53,34,25,22,6,26,48,54.2,22,31,3,28,5,58,23,0
511,Charlie Taylor,eng ENG,DF,Burnley,29,1993,25.9,35,20,19,14,2,17,35,48.6,18,27,11,16,19,54,78,0
512,Kenny Tete,nl NED,DF,Fulham,27,1995,9.6,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0
513,Luke Thomas,eng ENG,DF,Sheffield Utd,22,2001,10.2,20,9,13,6,1,8,14,57.1,6,23,5,18,10,30,27,0
514,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,1997,18.0,41,20,17,18,6,16,40,40.0,24,23,3,20,15,56,9,0
515,Jurriën Timber,nl NED,DF,Arsenal,22,2001,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0
516,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27,1995,16.2,26,14,20,6,0,15,24,62.5,9,34,13,21,14,40,49,0
517,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24,1998,12.8,20,9,15,4,1,11,18,61.1,7,10,4,6,18,38,33,0
518,James Tomkins,eng ENG,DF,Crystal Palace,34,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
519,Sandro Tonali,it ITA,MF,Newcastle Utd,23,2000,4.9,7,7,4,2,1,3,9,33.3,6,3,0,3,2,9,4,0
520,Ivan Toney,eng ENG,FW,Brentford,27,1996,16.1,15,5,2,7,6,6,14,42.9,8,5,1,4,10,25,18,0
521,Pau Torres,es ESP,DF,Aston Villa,26,1997,27.4,29,18,17,11,1,14,30,46.7,16,28,12,16,14,43,75,0
522,Andros Townsend,eng ENG,"MF,FW",Luton Town,32,1991,13.4,21,13,11,2,8,13,27,48.1,14,12,0,12,5,26,10,0
523,James Trafford,eng ENG,GK,Burnley,20,2002,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,18,1
524,Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,4,3,1,2,1,3,6,50.0,3,2,0,2,1,5,2,0
525,Bénie Traoré,ci CIV,"FW,MF",Sheffield Utd,20,2002,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0
526,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,27,1995,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
527,Boubacar Traoré,ml MLI,MF,Wolves,21,2001,9.1,35,23,16,17,2,9,21,42.9,12,12,2,10,5,40,7,0
528,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
529,Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,10,6,9,1,0,8,18,44.4,10,5,0,5,1,11,1,0
530,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,57,27,30,16,11,37,77,48.1,40,41,8,33,24,81,57,3
531,Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0
532,Auston Trusty,us USA,DF,Sheffield Utd,24,1998,28.6,47,30,31,13,3,21,43,48.8,22,41,22,19,35,82,153,3
533,Kostas Tsimikas,gr GRE,DF,Liverpool,27,1996,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0
534,Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,4
535,Destiny Udogie,it ITA,DF,Tottenham,20,2002,26.6,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5
536,Lesley Ugochukwu,fr FRA,MF,Chelsea,19,2004,3.3,14,10,4,8,2,4,10,40.0,6,6,2,4,1,15,5,0
537,Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0
538,Virgil van Dijk,nl NED,DF,Liverpool,32,1991,35.3,40,23,24,13,3,12,14,85.7,2,47,34,13,39,79,144,0
539,Raphaël Varane,fr FRA,DF,Manchester Utd,30,1993,15.3,18,11,10,7,1,10,14,71.4,4,23,18,5,15,33,88,0
540,Alejo Véliz,ar ARG,FW,Tottenham,19,2003,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
541,Joël Veltman,nl NED,DF,Brighton,31,1992,17.6,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1
542,Micky van de Ven,nl NED,DF,Tottenham,22,2001,26.0,49,35,34,12,3,24,33,72.7,9,25,15,10,18,67,78,1
543,Bart Verbruggen,nl NED,GK,Brighton,20,2002,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3
544,Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,31,2
545,Fabio Vieira,pt POR,"MF,FW",Arsenal,23,2000,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0
546,Carlos Vinícius,br BRA,FW,Fulham,28,1995,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0
547,Vitinho,br BRA,"DF,MF",Burnley,24,1999,25.7,64,34,36,22,6,43,86,50.0,43,44,6,38,12,76,47,4
548,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
549,Kyle Walker,eng ENG,DF,Manchester City,33,1990,30.7,38,24,19,17,2,19,39,48.7,20,19,6,13,27,65,40,1
550,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,19.8,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1
551,Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22.0,45,28,26,18,1,30,47,63.8,17,17,10,7,14,59,94,1
552,James Ward-Prowse,eng ENG,MF,West Ham,28,1994,33.3,45,29,14,23,8,18,44,40.9,26,31,9,22,38,83,49,0
553,Lewis Warrington,eng ENG,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
554,Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
555,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,12,7,0,5,7,5,11,45.5,6,26,4,22,4,16,20,0
556,Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1
557,Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1
558,Timo Werner,de GER,FW,Tottenham,27,1996,9.0,7,4,3,4,0,5,18,27.8,13,12,0,12,3,10,2,0
559,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1
560,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,1,1,0,1,0,1,1,100.0,0,2,0,2,2,3,0,0
561,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1
562,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
563,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,69,40,42,18,9,35,56,62.5,21,44,13,31,22,91,53,0
564,Willian,br BRA,FW,Fulham,34,1988,22.8,18,11,6,7,5,3,21,14.3,18,13,0,13,9,27,12,1
565,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,13,7,7,6,0,4,11,36.4,7,7,0,7,1,14,1,0
566,Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,11.0,5,3,0,2,3,0,4,0.0,4,6,0,6,2,7,4,0
567,Harry Wilson,wls WAL,FW,Fulham,26,1997,18.0,21,14,9,8,4,11,28,39.3,17,27,3,24,10,31,12,0
568,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,28,16,13,10,5,5,20,25.0,15,24,3,21,9,37,15,0
569,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,7,4,1,4,2,3,9,33.3,6,11,3,8,1,8,26,0
570,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,16,10,8,4,4,9,16,56.3,7,7,1,6,1,17,14,0
571,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,7,5,6,1,0,3,6,50.0,3,5,4,1,3,10,32,1
572,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0
573,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,66,39,39,21,6,19,34,55.9,15,42,15,27,21,87,44,1
574,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,53,38,28,19,6,30,54,55.6,24,24,6,18,22,75,50,3
575,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4
576,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,19,9,10,7,2,9,17,52.9,8,13,0,13,1,20,11,0
577,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,1
578,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,50,30,19,24,7,35,52,67.3,17,18,3,15,20,70,26,2
579,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,23,17,14,9,0,10,16,62.5,6,38,28,10,29,52,160,0
580,Martin Ødegaard,no NOR,MF,Arsenal,24,1998,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0
