Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
434,Jarell Quansah,eng ENG,DF,Liverpool,20,2003,13.2,1,0,0,10,2,0,0,17,22,0,1,0,72,45,22,67.2
435,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
436,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,20,2002,1.5,0,0,0,1,5,0,3,3,1,0,0,0,6,2,1,66.7
437,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,
438,Aaron Ramsey,eng ENG,"MF,FW",Burnley,20,2003,5.9,1,0,0,7,3,1,2,1,14,0,1,0,24,4,5,44.4
439,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,2,0,0,7,12,0,11,3,8,0,0,0,42,5,3,62.5
440,Marcus Rashford,eng ENG,FW,Manchester Utd,25,1997,25.2,2,0,0,13,21,12,35,4,12,1,0,0,81,15,26,36.6
441,David Raya,es ESP,GK,Arsenal,27,1995,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3
442,Tim Ream,us USA,DF,Fulham,35,1987,16.7,4,1,1,8,6,1,1,25,9,0,2,0,79,25,19,56.8
443,Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,1,0,0,4,2,2,3,0,1,0,0,0,6,1,1,50.0
444,Harrison Reed,eng ENG,MF,Fulham,28,1995,14.7,6,0,0,26,10,0,19,11,18,0,0,0,72,9,13,40.9
445,Sergio Reguilón,es ESP,DF,Manchester Utd,26,1996,4.6,3,0,0,4,11,3,29,5,8,0,0,0,21,5,9,35.7
446,Sergio Reguilón,es ESP,DF,Brentford,26,1996,12.4,4,1,0,10,15,1,72,16,20,0,1,0,75,14,20,41.2
447,Bobby Reid,jm JAM,FW,Fulham,30,1993,15.8,4,0,0,16,25,4,35,5,14,0,0,0,60,13,24,35.1
448,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,20,2002,2.6,0,0,0,3,2,0,8,2,3,0,0,0,14,7,9,43.8
449,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,66.7
450,Declan Rice,eng ENG,MF,Arsenal,24,1999,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6
451,Chris Richards,us USA,"DF,MF",Crystal Palace,23,2000,23.3,3,0,0,12,7,1,1,27,28,0,1,0,88,61,44,58.1
452,Richarlison,br BRA,FW,Tottenham,26,1997,16.6,3,0,0,20,30,12,14,8,11,0,0,0,42,25,57,30.5
453,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,26,1996,2.6,0,0,0,3,2,0,3,2,3,0,0,0,14,3,1,75.0
454,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,33,1989,1.4,1,0,0,2,1,0,7,1,3,0,0,0,5,0,3,0.0
455,Connor Roberts,wls WAL,DF,Burnley,27,1995,9.1,5,1,1,5,9,3,10,4,5,0,0,0,40,6,7,46.2
456,Andrew Robertson,sct SCO,DF,Liverpool,29,1994,18.8,2,0,0,9,5,3,184,13,24,0,0,0,104,14,12,53.8
457,Antonee Robinson,us USA,DF,Fulham,25,1997,36.3,6,0,0,34,20,3,132,80,58,0,0,2,227,42,27,60.9
458,Jack Robinson,eng ENG,DF,Sheffield Utd,29,1993,32.1,10,0,0,19,16,1,12,33,28,0,0,2,135,69,45,60.5
459,Rodri,es ESP,MF,Manchester City,27,1996,32.6,8,1,0,41,35,6,12,26,43,1,0,0,235,54,22,71.1
460,Jay Rodriguez,eng ENG,FW,Burnley,34,1989,9.1,0,0,0,18,6,7,1,1,9,0,0,0,25,21,38,35.6
461,Mads Roerslev,dk DEN,DF,Brentford,24,1999,22.1,1,0,0,10,15,3,62,19,31,0,0,0,82,14,27,34.1
462,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,21,2002,7.1,3,0,0,12,9,0,2,3,1,0,0,0,31,7,8,46.7
463,Cristian Romero,ar ARG,DF,Tottenham,25,1998,31.0,7,1,0,31,24,1,3,44,40,0,2,1,189,87,39,69.0
464,Joe Rothwell,eng ENG,MF,Bournemouth,28,1995,4.3,0,0,0,4,2,0,12,3,2,0,1,0,32,0,2,0.0
465,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30,1993,12.2,1,0,0,9,14,0,11,9,5,0,0,0,54,12,19,38.7
466,José Sá,pt POR,GK,Wolves,30,1993,33.7,1,0,0,0,9,0,0,0,0,0,0,0,29,10,0,100.0
467,Dominic Sadi,eng ENG,FW,Bournemouth,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
468,Bukayo Saka,eng ENG,FW,Arsenal,21,2001,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0
469,Mohamed Salah,eg EGY,FW,Liverpool,31,1992,28.2,2,0,0,12,26,17,41,2,11,1,0,0,84,6,14,30.0
470,William Saliba,fr FRA,DF,Arsenal,22,2001,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5
471,Albert Sambi Lokonga,be BEL,MF,Luton Town,23,1999,14.5,4,0,0,18,27,0,13,11,18,0,0,0,64,15,9,62.5
472,Davinson Sánchez,co COL,DF,Tottenham,27,1996,0.9,1,0,0,2,1,0,0,1,0,0,0,0,4,3,1,75.0
473,Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,2,0,0,0,1,0,0,0,0,0,0,0,20,3,0,100.0
474,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,2000,0.9,0,0,0,0,2,1,1,1,0,0,0,0,10,0,3,0.0
475,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,25,1997,11.5,6,0,0,22,9,2,2,16,23,0,0,0,70,8,16,33.3
476,Andrey Santos,br BRA,MF,Nott'ham Forest,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
477,Pablo Sarabia,es ESP,"MF,FW",Wolves,31,1992,19.4,5,0,0,21,25,9,131,10,13,0,0,0,90,7,21,25.0
478,Dane Scarlett,eng ENG,FW,Tottenham,19,2004,0.2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0.0
479,Kevin Schade,de GER,"FW,MF",Brentford,21,2001,3.7,0,0,0,10,6,2,5,1,1,0,0,0,23,17,14,54.8
480,Fabian Schär,ch SUI,DF,Newcastle Utd,31,1991,33.9,5,0,0,38,26,0,8,36,24,2,0,0,174,69,70,49.6
481,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30,1992,15.0,1,0,0,24,15,0,10,8,24,0,0,0,54,22,17,56.4
482,Alex Scott,eng ENG,MF,Bournemouth,19,2003,11.3,3,0,0,20,25,1,36,12,15,0,0,0,63,14,22,38.9
483,Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16.0,1,0,0,0,3,0,0,0,0,0,0,0,4,3,0,100.0
484,Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,10,1,0,48,30,1,80,36,48,0,2,0,188,22,27,44.9
485,Antoine Semenyo,gh GHA,FW,Bournemouth,23,2000,23.4,6,0,0,43,24,3,45,6,17,1,0,0,111,52,81,39.1
486,Marcos Senesi,ar ARG,DF,Bournemouth,26,1997,24.9,13,0,0,41,11,0,25,35,32,0,0,0,164,37,40,48.1
487,Luke Shaw,eng ENG,DF,Manchester Utd,28,1995,10.7,6,0,0,14,3,0,33,6,8,0,0,0,59,13,10,56.5
488,James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
489,Bernardo Silva,pt POR,"MF,FW",Manchester City,28,1994,28.6,8,0,0,22,26,3,83,17,23,0,0,0,102,2,9,18.2
490,Fábio Silva,pt POR,FW,Wolves,21,2002,2.9,2,0,0,8,4,5,0,2,4,0,1,0,15,2,5,28.6
491,Thiago Silva,br BRA,DF,Chelsea,38,1984,28.1,4,0,0,10,8,1,4,26,15,0,0,0,140,51,26,66.2
492,Luis Sinisterra,co COL,"FW,MF",Bournemouth,24,1999,7.8,0,0,0,11,6,4,11,8,12,0,0,0,47,16,20,44.4
493,Oliver Skipp,eng ENG,"MF,DF",Tottenham,22,2000,7.9,3,0,0,8,12,0,1,3,12,0,0,0,36,3,10,23.1
494,Adam Smith,eng ENG,DF,Bournemouth,32,1991,23.9,6,0,0,30,22,1,39,21,23,0,2,0,92,18,22,45.0
495,Emile Smith Rowe,eng ENG,MF,Arsenal,23,2000,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5
496,Cédric Soares,pt POR,DF,Arsenal,31,1991,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0
497,Dominic Solanke,eng ENG,FW,Bournemouth,25,1997,36.9,3,0,0,42,45,16,6,7,11,1,0,0,97,97,135,41.8
498,Manor Solomon,il ISR,FW,Tottenham,24,1999,2.2,1,0,0,2,1,1,5,3,3,0,0,0,11,0,1,0.0
499,Tomáš Souček,cz CZE,MF,West Ham,28,1995,31.9,7,0,0,41,24,10,6,37,35,0,1,0,151,108,78,58.1
500,Vinicius Souza,br BRA,MF,Sheffield Utd,24,1999,29.6,3,0,0,48,14,2,10,32,76,0,1,0,153,64,38,62.7
501,Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0
502,Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,1994,22.0,7,0,0,34,41,10,59,13,10,3,0,0,92,2,14,12.5
503,John Stones,eng ENG,"DF,MF",Manchester City,29,1994,11.8,2,0,0,4,5,0,5,10,1,0,0,0,46,14,5,73.7
504,Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
505,Dominik Szoboszlai,hu HUN,MF,Liverpool,22,2000,23.4,1,0,0,29,29,3,113,15,19,2,0,0,171,12,20,37.5
506,Matt Targett,eng ENG,DF,Newcastle Utd,27,1995,0.9,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0.0
507,James Tarkowski,eng ENG,DF,Everton,30,1992,38.0,11,0,0,45,25,1,6,56,42,0,1,0,186,140,61,69.7
508,Jimi Tauriainen,eng ENG,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
509,Nuno Tavares,pt POR,DF,Nott'ham Forest,23,2000,5.1,2,0,0,8,2,0,16,1,7,0,0,0,33,3,2,60.0
510,Marcus Tavernier,eng ENG,FW,Bournemouth,24,1999,23.5,3,0,0,20,22,3,116,5,34,0,0,0,142,13,31,29.5
511,Charlie Taylor,eng ENG,DF,Burnley,29,1993,25.9,8,0,0,20,16,2,71,19,20,0,0,0,106,41,38,51.9
512,Kenny Tete,nl NED,DF,Fulham,27,1995,9.6,2,0,0,16,12,0,23,16,17,0,1,0,45,5,5,50.0
513,Luke Thomas,eng ENG,DF,Sheffield Utd,22,2001,10.2,3,0,0,10,13,0,13,10,9,0,0,0,39,10,15,40.0
514,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,1997,18.0,3,0,0,22,29,0,31,15,20,0,0,0,97,13,9,59.1
515,Jurriën Timber,nl NED,DF,Arsenal,22,2001,0.8,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50.0
516,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27,1995,16.2,3,0,0,17,2,0,47,14,14,0,0,0,57,25,15,62.5
517,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24,1998,12.8,2,1,1,14,8,1,14,18,9,0,0,0,54,25,20,55.6
518,James Tomkins,eng ENG,DF,Crystal Palace,34,1989,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0
519,Sandro Tonali,it ITA,MF,Newcastle Utd,23,2000,4.9,2,0,0,9,6,0,11,2,7,0,0,0,20,1,0,100.0
520,Ivan Toney,eng ENG,FW,Brentford,27,1996,16.1,5,0,0,24,29,7,22,10,5,0,0,0,56,54,61,47.0
521,Pau Torres,es ESP,DF,Aston Villa,26,1997,27.4,1,0,0,18,10,2,8,14,18,0,0,0,127,23,22,51.1
522,Andros Townsend,eng ENG,"MF,FW",Luton Town,32,1991,13.4,1,0,0,13,12,2,74,5,13,0,0,0,68,0,10,0.0
523,James Trafford,eng ENG,GK,Burnley,20,2002,28.0,2,0,0,0,5,0,0,1,1,0,0,0,40,14,3,82.4
524,Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,2,0,0,5,4,0,26,1,3,0,0,0,13,9,6,60.0
525,Bénie Traoré,ci CIV,"FW,MF",Sheffield Utd,20,2002,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0
526,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,27,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
527,Boubacar Traoré,ml MLI,MF,Wolves,21,2001,9.1,4,0,0,23,4,1,6,5,23,0,0,0,62,6,16,27.3
528,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,100.0
529,Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,0,0,0,0,3,2,32,1,6,0,0,0,28,1,9,10.0
530,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,5,0,0,27,21,3,212,24,27,0,0,0,162,31,17,64.6
531,Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3
532,Auston Trusty,us USA,DF,Sheffield Utd,24,1998,28.6,4,0,0,23,13,3,5,35,30,0,1,0,89,61,49,55.5
533,Kostas Tsimikas,gr GRE,DF,Liverpool,27,1996,7.5,0,0,0,11,7,1,72,6,13,0,0,0,43,3,13,18.8
534,Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17.0,2,0,0,0,3,0,0,0,0,0,0,0,11,4,0,100.0
535,Destiny Udogie,it ITA,DF,Tottenham,20,2002,26.6,7,1,1,51,36,3,22,37,33,0,0,0,169,22,26,45.8
536,Lesley Ugochukwu,fr FRA,MF,Chelsea,19,2004,3.3,2,0,0,4,2,0,0,1,10,0,0,0,12,9,2,81.8
537,Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,1,0,0,10,9,6,3,1,4,0,0,0,10,8,11,42.1
538,Virgil van Dijk,nl NED,DF,Liverpool,32,1991,35.3,3,1,0,23,13,1,0,39,23,0,0,0,170,140,32,81.4
539,Raphaël Varane,fr FRA,DF,Manchester Utd,30,1993,15.3,2,0,0,8,3,2,0,15,11,0,0,0,67,21,5,80.8
540,Alejo Véliz,ar ARG,FW,Tottenham,19,2003,0.6,1,0,0,0,1,3,0,0,0,0,0,0,0,1,2,33.3
541,Joël Veltman,nl NED,DF,Brighton,31,1992,17.6,4,0,0,17,42,1,11,18,41,0,0,0,76,28,21,57.1
542,Micky van de Ven,nl NED,DF,Tottenham,22,2001,26.0,5,0,0,13,17,1,3,18,35,0,1,0,144,38,41,48.1
543,Bart Verbruggen,nl NED,GK,Brighton,20,2002,21.0,3,0,0,1,2,0,0,0,1,0,0,0,33,5,0,100.0
544,Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38.0,2,0,0,0,8,0,0,1,0,0,0,0,61,21,1,95.5
545,Fabio Vieira,pt POR,"MF,FW",Arsenal,23,2000,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0
546,Carlos Vinícius,br BRA,FW,Fulham,28,1995,3.5,2,0,0,4,2,6,1,0,2,0,0,0,9,4,11,26.7
547,Vitinho,br BRA,"DF,MF",Burnley,24,1999,25.7,1,0,0,27,28,6,56,12,34,1,2,0,109,19,22,46.3
548,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
549,Kyle Walker,eng ENG,DF,Manchester City,33,1990,30.7,2,0,0,23,18,7,59,27,24,0,0,0,152,25,15,62.5
550,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,19.8,4,0,0,17,9,0,14,41,25,0,1,0,94,21,19,52.5
551,Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22.0,4,0,0,22,6,0,22,14,28,0,0,1,94,46,48,48.9
552,James Ward-Prowse,eng ENG,MF,West Ham,28,1994,33.3,4,0,0,24,20,0,189,38,29,0,0,0,145,26,33,44.1
553,Lewis Warrington,eng ENG,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
554,Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
555,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,4,0,0,22,41,16,13,4,7,2,0,0,64,49,80,38.0
556,Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,2,0,0,9,3,0,1,16,12,0,0,1,63,33,13,71.7
557,Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,4,0,0,12,21,9,3,9,17,2,0,0,42,16,22,42.1
558,Timo Werner,de GER,FW,Tottenham,27,1996,9.0,1,0,0,3,5,12,28,3,4,0,0,0,27,1,2,33.3
559,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,2,0,0,18,21,0,25,20,32,0,0,0,76,7,12,36.8
560,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,
561,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1
562,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0.0
563,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,4,0,0,23,30,4,68,22,40,0,0,0,107,31,20,60.8
564,Willian,br BRA,FW,Fulham,34,1988,22.8,1,0,0,9,30,1,75,9,11,0,0,0,99,9,15,37.5
565,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,0,0,0,3,3,1,6,1,7,0,0,0,26,1,1,50.0
566,Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,11.0,3,0,0,16,17,4,3,2,3,0,0,0,17,9,16,36.0
567,Harry Wilson,wls WAL,FW,Fulham,26,1997,18.0,6,0,0,21,40,5,42,10,14,1,0,0,78,5,6,45.5
568,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,7,0,0,38,51,20,21,9,16,1,0,0,99,38,47,44.7
569,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,0,0,0,22,13,7,2,1,4,0,1,0,46,72,96,42.9
570,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,2,0,0,8,4,2,10,1,10,0,0,0,21,10,16,38.5
571,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,0,1,0,3,2,0,0,3,5,0,0,0,18,12,10,54.5
572,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,2,0,0,12,6,1,14,6,11,0,0,0,50,9,10,47.4
573,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,6,0,0,54,57,2,6,21,39,0,0,0,110,41,36,53.2
574,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,7,1,1,33,24,1,100,22,38,1,1,1,120,19,32,37.3
575,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37.0,5,0,0,24,24,0,1,33,32,0,0,0,153,75,60,55.6
576,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,7,0,0,24,21,0,18,1,9,0,0,0,36,7,14,33.3
577,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,0,1,0,4,3,0,11,0,0,0,0,0,8,0,1,0.0
578,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,2,0,0,7,9,1,30,20,30,0,0,0,104,27,16,62.8
579,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,3,0,0,24,6,0,0,29,17,0,1,0,95,58,43,57.4
580,Martin Ødegaard,no NOR,MF,Arsenal,24,1998,34.3,2,0,0,30,36,3,77,15,17,1,0,0,158,3,9,25.0
