Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
122,Kaelan Casey,eng ENG,DF,West Ham,18,2004,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,+0.37,0.7,0.0,+0.7,+59.11,+59.62
123,Matty Cash,pl POL,DF,Aston Villa,25,1997,29,2142,74,62.6,23.8,23,84,16,6,34,2,1.86,49,36,+13,+0.55,+0.41,41.2,36.6,+4.6,+0.19,+0.28
124,Timothy Castagne,be BEL,DF,Fulham,27,1995,34,2634,77,77.0,29.3,29,88,25,5,16,1,1.26,41,40,+1,+0.03,+0.84,40.8,40.7,+0.1,0.00,+1.40
125,Leo Castledine,eng ENG,MF,Chelsea,17,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
126,Jonny Castro,es ESP,MF,Wolves,29,1994,1,5,5,0.1,0.1,0,,0,1,5,7,3.00,0,0,0,0.00,+0.40,0.0,0.1,-0.1,-1.27,-0.72
127,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,13,952,73,27.8,10.6,10,89,9,3,20,1,2.15,31,14,+17,+1.61,+1.72,20.0,15.4,+4.6,+0.44,0.00
128,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,5,152,30,4.4,1.7,1,67,0,4,21,26,0.80,3,6,-3,-1.78,-2.27,3.1,4.9,-1.8,-1.04,-1.19
129,Luke Chambers,eng ENG,DF,Liverpool,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
130,Ismaila Cheick Coulibaly,ml MLI,MF,Sheffield Utd,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
131,Youssef Chermiti,pt POR,FW,Everton,19,2004,18,208,12,6.1,2.3,1,89,0,17,7,18,1.33,3,4,-1,-0.43,-0.15,4.8,5.0,-0.2,-0.07,-0.04
132,Christian Chigozie,eng ENG,DF,Luton Town,16,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,
133,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,13,756,58,22.1,8.4,9,77,3,4,17,1,1.23,13,14,-1,-0.12,-0.63,14.8,12.2,+2.6,+0.30,-0.17
134,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,8,145,18,4.2,1.6,1,74,0,7,10,15,0.25,0,2,-2,-1.24,-0.88,0.8,1.5,-0.7,-0.44,+0.11
135,Leon Chiwome,eng ENG,FW,Wolves,17,2006,3,174,58,5.1,1.9,2,79,0,1,16,1,0.33,1,4,-3,-1.55,-1.22,2.2,2.2,-0.1,-0.04,+0.54
136,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,33,1982,60,58.0,22.0,20,80,6,13,29,5,0.45,26,51,-25,-1.14,-0.63,22.6,47.2,-24.7,-1.12,-0.44
137,Samy Chouchane,tn TUN,MF,Brighton,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
138,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,37,2907,79,85.0,32.3,35,81,18,2,29,0,1.22,44,56,-12,-0.37,-0.20,46.3,48.3,-2.0,-0.06,-0.03
139,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,9,227,25,6.6,2.5,2,63,0,7,15,4,1.56,7,5,+2,+0.79,+0.45,5.4,4.6,+0.8,+0.32,-0.13
140,Bobby Clark,eng ENG,MF,Liverpool,18,2005,5,89,18,2.6,1.0,1,59,0,4,8,6,3.00,2,0,+2,+2.02,+0.86,1.7,1.7,-0.1,-0.05,-1.19
141,Jordan Clark,eng ENG,MF,Luton Town,29,1993,23,1304,57,38.1,14.5,14,78,4,9,24,4,0.57,22,41,-19,-1.31,-0.72,18.0,30.4,-12.4,-0.86,+0.13
142,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,19,1338,70,39.1,14.9,14,87,10,5,24,18,1.53,31,16,+15,+1.01,+1.70,21.5,20.9,+0.6,+0.04,+0.21
143,Séamus Coleman,ie IRL,DF,Everton,34,1988,12,665,55,19.4,7.4,7,80,5,5,21,6,1.08,5,10,-5,-0.68,-0.48,11.2,10.6,+0.6,+0.08,+0.14
144,Nathan Collins,ie IRL,DF,Brentford,22,2001,32,2652,83,77.5,29.5,29,90,28,3,18,1,1.13,47,51,-4,-0.14,+0.45,47.5,41.9,+5.6,+0.19,+0.58
145,Toby Collyer,eng ENG,MF,Manchester Utd,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,
146,Levi Colwill,eng ENG,DF,Chelsea,20,2003,23,1797,78,52.5,20.0,20,84,15,3,37,4,1.52,29,26,+3,+0.15,-0.46,35.9,27.8,+8.1,+0.41,-0.06
147,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,33,2786,84,81.5,31.0,32,86,26,1,45,0,1.24,43,50,-7,-0.23,+0.63,46.1,45.8,+0.3,+0.01,+0.36
148,Jack Cork,eng ENG,MF,Burnley,34,1989,4,27,7,0.8,0.3,0,,0,4,7,18,0.25,1,0,+1,+3.33,+4.34,0.7,0.1,+0.6,+1.89,+2.69
149,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,7,112,16,3.3,1.2,1,69,0,6,7,21,0.43,2,3,-1,-0.80,-0.45,1.3,3.1,-1.8,-1.44,-0.98
150,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,36,3132,87,91.6,34.8,36,87,28,0,,0,1.39,57,69,-12,-0.34,+0.28,48.5,63.9,-15.5,-0.44,+0.58
151,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,2,25,13,0.7,0.3,0,,0,2,13,0,1.50,1,1,0,0.00,-0.40,0.9,0.6,+0.3,+1.16,+1.08
152,Conor Coventry,ie IRL,MF,West Ham,23,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
153,William Crellin,eng ENG,GK,Everton,23,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
154,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,11,436,40,12.7,4.8,4,77,2,7,18,21,1.00,6,11,-5,-1.03,-0.76,6.6,5.6,+0.9,+0.19,+0.79
155,Marc Cucurella,es ESP,DF,Chelsea,25,1998,21,1782,85,52.1,19.8,20,87,16,1,45,6,1.81,50,33,+17,+0.86,+1.02,39.8,31.2,+8.5,+0.43,-0.01
156,Josh Cullen,ie IRL,MF,Burnley,27,1996,25,2057,82,60.1,22.9,23,87,18,2,30,8,0.64,25,48,-23,-1.01,-0.08,25.8,45.6,-19.8,-0.87,-0.21
157,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,32,2440,76,71.3,27.1,29,81,12,3,29,0,1.16,40,46,-6,-0.22,+0.61,33.9,48.8,-15.0,-0.55,0.00
158,Ted Curd,eng ENG,GK,Chelsea,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
159,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,1,28,28,0.8,0.3,0,,0,1,28,8,0.00,0,0,0,0.00,+1.83,0.4,0.4,0.0,-0.03,+0.99
160,Michael DaCosta,es ESP,FW,Bournemouth,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
161,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,9,452,50,13.2,5.0,6,68,0,3,16,8,2.11,10,5,+5,+1.00,+1.36,7.9,4.1,+3.8,+0.76,+0.83
162,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,13,1056,81,30.9,11.7,12,86,11,1,21,2,0.38,10,26,-16,-1.36,-0.56,10.8,20.3,-9.5,-0.81,-0.04
163,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,36,3174,88,92.8,35.3,35,90,34,1,25,1,1.58,56,55,+1,+0.03,+0.76,51.5,64.3,-12.8,-0.36,-0.47
164,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,23,842,37,24.6,9.4,7,75,0,16,20,3,0.87,17,9,+8,+0.86,+1.45,14.3,10.5,+3.8,+0.41,+0.47
165,Danilo,br BRA,MF,Nott'ham Forest,22,2001,29,1792,62,52.4,19.9,20,80,7,9,20,2,1.03,31,42,-11,-0.55,-0.17,30.4,28.1,+2.3,+0.11,+0.42
166,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,14,595,43,17.4,6.6,5,84,2,9,19,14,0.43,3,10,-7,-1.06,-0.93,8.6,9.8,-1.2,-0.18,-0.18
167,Jayden Danns,eng ENG,FW,Liverpool,17,2006,2,9,5,0.3,0.1,0,,0,2,5,4,3.00,2,0,+2,+20.00,+18.87,0.6,0.1,+0.5,+4.56,+3.47
168,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,3,24,8,0.7,0.3,0,,0,3,8,1,2.00,0,0,0,0.00,+0.24,0.2,0.1,+0.1,+0.32,+0.27
169,David Datro Fofana,ci CIV,FW,Burnley,20,2002,15,879,59,25.7,9.8,10,80,5,5,15,1,0.73,10,18,-8,-0.82,+0.21,13.7,17.2,-3.5,-0.36,+0.57
170,Adam Davies,wls WAL,GK,Sheffield Utd,31,1992,0,,,,,0,,0,0,,18,,,,,,,,,,,
171,Ben Davies,wls WAL,DF,Tottenham,30,1993,17,1090,64,31.9,12.1,12,86,10,5,12,13,1.82,25,21,+4,+0.33,-0.02,22.1,21.8,+0.3,+0.02,-0.15
172,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,9,221,25,6.5,2.5,2,45,0,7,19,1,0.44,2,11,-9,-3.67,-1.98,3.0,7.1,-4.1,-1.67,-0.70
173,Craig Dawson,eng ENG,DF,Wolves,33,1990,25,2209,88,64.6,24.5,25,88,23,0,,2,1.40,33,38,-5,-0.20,+0.54,32.4,39.4,-7.0,-0.29,+0.75
174,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,18,1221,68,35.7,13.6,15,77,5,3,21,3,2.67,40,8,+32,+2.36,+1.13,30.8,11.4,+19.4,+1.43,+0.39
175,Luc De Fougerolles,ca CAN,DF,Fulham,17,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
176,Hannes Delcroix,be BEL,DF,Burnley,24,1999,12,589,49,17.2,6.5,5,86,4,7,23,10,0.67,6,25,-19,-2.90,-2.33,6.3,16.1,-9.8,-1.50,-0.87
177,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,8,119,15,3.5,1.3,1,85,0,7,5,10,2.25,3,3,0,0.00,-0.41,2.6,1.7,+1.0,+0.72,+0.66
178,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,38,2174,57,63.6,24.2,25,75,4,13,23,0,1.79,41,40,+1,+0.04,-0.97,35.9,36.1,-0.1,-0.01,-0.26
179,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,9,390,43,11.4,4.3,3,75,0,6,28,8,1.22,10,6,+4,+0.92,+1.07,7.7,7.4,+0.3,+0.07,+0.45
180,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,-0.61,0.0,0.0,0.0,0.00,-0.39
181,Rúben Dias,pt POR,DF,Manchester City,26,1997,30,2559,85,74.8,28.4,28,90,28,2,20,5,2.30,65,28,+37,+1.30,-1.31,62.2,25.4,+36.8,+1.30,+0.45
182,Luis Díaz,co COL,FW,Liverpool,26,1997,37,2629,71,76.9,29.2,32,78,11,5,24,0,2.14,67,33,+34,+1.16,-0.09,66.1,35.4,+30.7,+1.05,-0.24
183,Matt Dibley-Dias,nz NZL,MF,Fulham,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
184,Eric Dier,eng ENG,DF,Tottenham,29,1994,4,201,50,5.9,2.2,1,90,1,3,37,8,1.50,1,8,-7,-3.13,-3.69,2.6,6.9,-4.3,-1.94,-2.19
185,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,33,2410,73,70.5,26.8,27,85,18,6,19,0,1.76,54,41,+13,+0.49,+0.31,43.6,41.9,+1.7,+0.06,-0.08
186,Issa Diop,fr FRA,DF,Fulham,26,1997,18,1424,79,41.6,15.8,16,88,13,2,11,3,1.28,12,25,-13,-0.82,-1.14,16.7,30.3,-13.6,-0.86,-0.93
187,Axel Disasi,fr FRA,DF,Chelsea,25,1998,31,2579,83,75.4,28.7,29,89,27,2,5,4,1.52,50,50,0,0.00,-1.50,56.1,43.1,+12.9,+0.45,+0.08
188,Ben Doak,sct SCO,FW,Liverpool,17,2005,1,14,14,0.4,0.2,0,,0,1,14,8,1.00,0,0,0,0.00,-1.19,0.0,0.0,0.0,+0.24,-0.87
189,Lewis Dobbin,eng ENG,MF,Everton,20,2003,12,232,19,6.8,2.6,1,65,0,11,15,16,0.92,2,3,-1,-0.39,-0.11,5.8,3.9,+1.8,+0.71,+0.79
190,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,30,1150,38,33.6,12.8,9,79,4,21,21,8,1.40,17,21,-4,-0.31,+0.12,16.3,23.8,-7.4,-0.58,-0.04
191,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,29,1595,55,46.6,17.7,18,76,7,11,20,2,2.38,50,19,+31,+1.75,+0.22,39.7,16.7,+22.9,+1.29,+0.21
192,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,26,1495,58,43.7,16.6,19,74,3,7,12,6,0.92,16,27,-11,-0.66,-0.33,18.6,20.8,-2.2,-0.13,-0.08
193,Jamie Donley,eng ENG,FW,Tottenham,18,2005,3,3,1,0.1,0.0,0,,0,3,1,10,2.33,0,1,-1,-30.00,-30.37,0.0,0.5,-0.5,-14.76,-14.90
194,Alfie Dorrington,eng ENG,DF,Tottenham,18,2005,0,,,,,0,,0,0,,10,,,,,,,,,,,
195,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,32,2629,82,76.9,29.2,32,82,17,0,,0,1.44,33,36,-3,-0.10,+0.81,40.3,41.8,-1.5,-0.05,-0.08
196,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,11,919,84,26.9,10.2,11,84,8,0,,1,1.27,9,12,-3,-0.29,-0.37,11.1,13.1,-2.0,-0.19,-0.14
197,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,37,2925,79,85.5,32.5,34,84,18,3,22,0,0.70,46,74,-28,-0.86,+0.05,38.1,66.1,-28.1,-0.86,+0.50
198,Tommy Doyle,eng ENG,MF,Wolves,21,2001,26,1222,47,35.7,13.6,11,82,5,15,22,6,1.08,18,24,-6,-0.44,-0.07,17.7,22.3,-4.6,-0.34,+0.33
199,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,9,429,48,12.5,4.8,4,90,4,5,14,9,1.89,10,7,+3,+0.63,+0.33,12.8,8.3,+4.5,+0.95,+0.94
200,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,23,1985,86,58.0,22.1,22,90,22,1,5,14,1.48,48,42,+6,+0.27,-0.79,44.4,43.5,+0.9,+0.04,-0.82
201,Josh Duffus,eng ENG,MF,Brighton,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
202,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,5,20,4,0.6,0.2,0,,0,5,4,24,2.60,0,1,-1,-4.50,-5.14,0.4,0.9,-0.5,-2.22,-2.62
203,Lewis Dunk,eng ENG,DF,Brighton,31,1991,33,2869,87,83.9,31.9,33,87,29,0,,0,1.30,49,52,-3,-0.09,+0.56,46.0,46.4,-0.4,-0.01,-0.31
204,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,23,475,21,13.9,5.3,3,68,1,20,14,5,1.74,15,12,+3,+0.57,+0.20,8.6,11.3,-2.6,-0.50,-0.68
205,Kiano Dyer,eng ENG,MF,Chelsea,16,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,
206,George Earthy,eng ENG,FW,West Ham,18,2004,3,34,11,1.0,0.4,0,,0,3,11,6,1.00,1,0,+1,+2.65,+3.05,1.2,0.1,+1.0,+2.75,+3.27
207,Malcolm Ebiowei,eng ENG,MF,Crystal Palace,19,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,
208,Ederson,br BRA,GK,Manchester City,29,1993,33,2785,84,81.4,30.9,33,84,29,0,,2,2.36,78,27,+51,+1.65,+0.09,66.8,28.0,+38.7,+1.25,+0.37
209,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,30,1555,52,45.5,17.3,17,81,5,13,14,3,1.23,14,24,-10,-0.58,-1.01,19.6,20.6,-1.0,-0.06,+0.06
210,John Egan,ie IRL,DF,Sheffield Utd,30,1992,6,482,80,14.1,5.4,6,80,4,0,,0,0.17,4,17,-13,-2.43,-0.71,3.5,14.6,-11.1,-2.06,-1.23
211,CJ Egan-Riley,eng ENG,DF,Burnley,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
212,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,8,437,55,12.8,4.9,5,75,0,3,21,12,0.88,2,8,-6,-1.24,-0.30,5.1,7.7,-2.6,-0.54,+0.28
213,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,36,2433,68,71.1,27.0,25,86,15,11,27,0,0.97,40,47,-7,-0.26,+0.74,39.1,39.7,-0.7,-0.02,+0.21
214,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,34,1352,40,39.5,15.0,11,77,4,23,22,4,2.15,41,13,+28,+1.86,+1.12,37.2,18.6,+18.6,+1.24,+0.22
215,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,3,28,9,0.8,0.3,0,,0,3,9,13,3.00,1,0,+1,+3.21,+1.60,0.8,0.1,+0.7,+2.24,+0.98
216,Emerson,br BRA,DF,Tottenham,24,1999,22,1161,53,33.9,12.9,11,86,8,11,19,16,1.64,22,31,-9,-0.70,-1.57,18.5,28.3,-9.8,-0.76,-1.34
217,Lander Emery,eng ENG,GK,Aston Villa,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
218,Yunus Emre Konak,tr TUR,MF,Brentford,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
219,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,12,475,40,13.9,5.3,5,65,0,7,22,1,1.25,8,12,-4,-0.76,-0.67,8.6,9.9,-1.3,-0.25,-0.33
220,Wataru Endo,jp JPN,MF,Liverpool,30,1993,29,1722,59,50.4,19.1,20,79,11,9,15,4,2.21,42,16,+26,+1.36,+0.35,45.5,22.5,+22.9,+1.20,+0.19
221,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,22,1141,52,33.4,12.7,12,78,5,10,20,11,1.45,20,27,-7,-0.55,-0.79,19.2,20.1,-0.9,-0.07,+0.39
222,Maxime Estève,fr FRA,DF,Burnley,21,2002,16,1309,82,38.3,14.5,15,84,12,1,45,0,0.75,18,28,-10,-0.69,+0.46,19.4,28.7,-9.3,-0.64,+0.23
223,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,19,1243,65,36.3,13.8,15,76,9,4,24,1,1.47,23,26,-3,-0.22,-0.05,21.6,25.8,-4.2,-0.30,-0.54
224,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,23,1392,61,40.7,15.5,15,85,9,8,15,3,1.65,21,24,-3,-0.19,-0.28,18.0,27.4,-9.4,-0.61,-0.47
225,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,27,2055,76,60.1,22.8,24,83,12,3,18,0,1.56,41,28,+13,+0.57,+1.49,32.2,30.9,+1.3,+0.06,+0.36
226,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,10,721,72,21.1,8.0,7,90,7,3,30,27,1.10,11,21,-10,-1.25,-1.11,10.7,16.8,-6.1,-0.76,-0.34
227,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,5,41,8,1.2,0.5,0,,0,5,8,8,0.40,0,1,-1,-2.20,-1.88,0.6,0.2,+0.5,+1.01,+1.08
228,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,19,521,27,15.2,5.8,3,50,0,16,23,5,1.26,13,12,+1,+0.17,+0.42,10.2,7.0,+3.2,+0.56,+0.61
229,Felipe,br BRA,DF,Nott'ham Forest,34,1989,7,375,54,11.0,4.2,4,75,2,3,25,5,0.75,4,11,-7,-1.68,-1.35,5.7,6.3,-0.6,-0.14,-0.06
230,Evan Ferguson,ie IRL,FW,Brighton,18,2004,27,1367,51,40.0,15.2,15,71,4,12,25,1,1.48,24,28,-4,-0.26,-0.13,21.5,21.1,+0.4,+0.02,-0.02
231,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,35,3118,89,91.2,34.6,35,89,33,0,,0,1.69,55,52,+3,+0.09,+1.28,53.8,63.3,-9.5,-0.27,+0.61
232,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,28,2209,79,64.6,24.5,26,84,18,2,16,0,1.46,41,47,-6,-0.24,-1.73,43.7,39.4,+4.2,+0.17,-0.73
233,John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,4,92,23,2.7,1.0,1,45,0,3,16,5,0.00,1,5,-4,-3.91,-2.16,1.0,3.0,-2.0,-1.92,-0.94
234,Mark Flekken,nl NED,GK,Brentford,30,1993,37,3285,89,96.1,36.5,37,89,36,0,,0,1.05,53,63,-10,-0.27,-0.94,56.8,54.3,+2.5,+0.07,+0.23
235,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,35,2857,82,83.5,31.7,33,85,19,2,25,2,2.34,75,27,+48,+1.51,-0.73,65.4,28.8,+36.6,+1.15,-0.18
236,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30,2649,88,77.5,29.4,29,90,29,1,39,8,0.43,24,79,-55,-1.87,-0.23,29.0,62.2,-33.2,-1.13,-0.53
237,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,15,426,28,12.5,4.7,4,78,2,11,11,6,1.67,6,9,-3,-0.63,-0.30,6.7,9.6,-2.8,-0.60,-0.12
238,Omari Forson,eng ENG,FW,Manchester Utd,19,2004,4,70,18,2.0,0.8,1,52,0,3,6,9,0.75,1,2,-1,-1.29,-1.29,1.4,0.9,+0.5,+0.59,+0.94
239,Fraser Forster,eng ENG,GK,Tottenham,35,1988,0,,,,,0,,0,0,,23,,,,,,,,,,,
240,Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,24,1899,79,55.5,21.1,22,84,10,2,24,0,0.79,22,43,-21,-1.00,-0.05,21.9,41.2,-19.3,-0.92,-0.30
241,Matheus França,br BRA,"MF,FW",Crystal Palace,19,2004,10,232,23,6.8,2.6,1,83,0,9,17,9,0.70,7,7,0,0.00,+0.03,4.3,3.5,+0.8,+0.32,+0.43
242,Aidan Francis,eng ENG,DF,Luton Town,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
243,Tyrese Francois,au AUS,MF,Fulham,23,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
244,Nathan Fraser,ie IRL,FW,Wolves,18,2005,7,186,27,5.4,2.1,1,76,0,6,18,13,0.57,4,3,+1,+0.48,+0.93,2.8,3.3,-0.5,-0.22,+0.35
245,Benjamin Fredrick,ng NGA,DF,Brentford,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
